month,revenue,orders,avg_order,units_sold,unique_customers
2025-01,63611.64,716,88.84,1336,713
2025-02,50714.26,588,86.25,1074,585
2025-03,62516.81,687,91.0,1319,687
2025-04,67235.88,739,90.98,1412,736
2025-05,60677.19,671,90.43,1281,668
2025-06,60632.26,695,87.24,1274,693
2025-07,61432.0,687,89.42,1300,686
2025-08,58132.36,686,84.74,1264,683
2025-09,58667.54,647,90.68,1246,644
2025-10,64006.48,715,89.52,1352,709
2025-11,71944.77,790,91.07,1523,785
2025-12,67645.88,748,90.44,1412,743
2026-01,60961.88,690,88.35,1312,688
2026-02,52603.71,607,86.66,1129,604
2026-03,63266.65,712,88.86,1335,712
2026-04,59097.13,690,85.65,1287,689
