customer_id,monetary,first_order,last_order,frequency,recency_days,segment
C10007,89.99,2025-10-19,2025-10-19,1,193,At Risk
C10030,359.96,2025-08-07,2025-08-07,1,266,At Risk
C10031,49.99,2025-03-03,2025-03-03,1,423,At Risk
C10032,29.99,2025-03-06,2025-03-06,1,420,At Risk
C10037,89.97,2026-02-17,2026-02-17,1,72,New
C10040,34.99,2025-12-07,2025-12-07,1,144,At Risk
C10045,269.97,2026-01-30,2026-01-30,1,90,New
C10055,29.99,2025-11-15,2025-11-15,1,166,At Risk
C10069,29.99,2026-01-05,2026-01-05,1,115,New
C10093,19.99,2025-04-12,2025-04-12,1,383,At Risk
C10098,59.97,2025-04-04,2025-04-04,1,391,At Risk
C10100,34.99,2025-12-18,2025-12-18,1,133,At Risk
C10105,149.97,2026-01-12,2026-01-12,1,108,New
C10107,239.96,2025-01-08,2025-01-08,1,477,At Risk
C10111,89.97,2025-08-27,2025-08-27,1,246,At Risk
C10112,269.97,2025-06-15,2025-06-15,1,319,At Risk
C10115,89.99,2026-01-08,2026-01-08,1,112,New
C10119,119.98,2025-12-22,2025-12-22,1,129,At Risk
C10124,19.99,2025-06-04,2025-06-04,1,330,At Risk
C10125,179.97,2025-05-13,2025-05-13,1,352,At Risk
C10127,119.98,2025-09-25,2025-09-25,1,217,At Risk
C10129,79.96,2026-02-16,2026-02-16,1,73,New
C10130,49.99,2025-12-02,2025-12-02,1,149,At Risk
C10133,39.98,2025-12-03,2025-12-03,1,148,At Risk
C10148,119.98,2025-11-06,2025-11-06,1,175,At Risk
C10158,59.99,2026-04-15,2026-04-15,1,15,New
C10161,179.97,2025-03-09,2025-03-09,1,417,At Risk
C10171,149.97,2026-04-03,2026-04-03,1,27,New
C10176,139.96,2025-04-02,2025-04-02,1,393,At Risk
C10179,19.99,2025-12-21,2025-12-21,1,130,At Risk
C10180,29.99,2025-10-03,2025-10-03,1,209,At Risk
C10201,199.96,2025-04-12,2025-12-09,3,142,At Risk
C10205,59.99,2026-03-18,2026-03-18,1,43,New
C10208,19.99,2025-12-29,2025-12-29,1,122,At Risk
C10212,89.99,2025-06-18,2025-06-18,1,316,At Risk
C10213,179.97,2025-07-09,2025-07-09,1,295,At Risk
C10223,269.97,2025-12-24,2025-12-24,1,127,At Risk
