date,product_name,category,unit_price,quantity,total,region,customer_id
2025-01-01,Beauty Kit,Beauty,34.99,1,34.99,Asia,C44716
2025-01-01,Sport Gear,Sports,59.99,3,179.97,North America,C81207
2025-01-01,Home Set,Home & Garden,89.99,3,269.97,LATAM,C93211
2025-01-01,Beauty Kit,Beauty,34.99,2,69.98,LATAM,C11663
2025-01-01,Beauty Kit,Beauty,34.99,4,139.96,Asia,C54788
2025-01-01,Widget Pro,Electronics,29.99,3,89.97,Asia,C94335
2025-01-01,Gadget X,Electronics,49.99,3,149.97,LATAM,C37674
2025-01-01,Widget Pro,Electronics,29.99,2,59.98,Asia,C11831
2025-01-01,Beauty Kit,Beauty,34.99,1,34.99,Oceania,C27831
2025-01-01,Sport Gear,Sports,59.99,3,179.97,Asia,C50361
2025-01-01,Beauty Kit,Beauty,34.99,1,34.99,Oceania,C92536
2025-01-01,Home Set,Home & Garden,89.99,1,89.99,LATAM,C52574
2025-01-01,Book Bundle,Books,19.99,3,59.97,North America,C22518
2025-01-01,Widget Pro,Electronics,29.99,2,59.98,LATAM,C78875
2025-01-01,Book Bundle,Books,19.99,1,19.99,Asia,C26786
2025-01-01,Home Set,Home & Garden,89.99,5,449.95,LATAM,C55869
2025-01-01,Home Set,Home & Garden,89.99,4,359.96,North America,C48147
2025-01-01,Widget Pro,Electronics,29.99,1,29.99,Oceania,C35984
2025-01-01,Widget Pro,Electronics,29.99,1,29.99,LATAM,C63247
2025-01-01,Beauty Kit,Beauty,34.99,1,34.99,Europe,C93907
2025-01-01,Sport Gear,Sports,59.99,1,59.99,Europe,C28563
2025-01-01,Widget Pro,Electronics,29.99,3,89.97,Europe,C51824
2025-01-01,Widget Pro,Electronics,29.99,1,29.99,North America,C70281
2025-01-02,Home Set,Home & Garden,89.99,2,179.98,LATAM,C45853
2025-01-02,Home Set,Home & Garden,89.99,2,179.98,Oceania,C53539
2025-01-02,Gadget X,Electronics,49.99,3,149.97,LATAM,C37913
2025-01-02,Home Set,Home & Garden,89.99,3,269.97,LATAM,C69767
2025-01-02,Book Bundle,Books,19.99,2,39.98,Europe,C15574
2025-01-02,Home Set,Home & Garden,89.99,1,89.99,LATAM,C10483
2025-01-02,Beauty Kit,Beauty,34.99,1,34.99,Asia,C80588
2025-01-02,Sport Gear,Sports,59.99,3,179.97,LATAM,C90317
2025-01-02,Beauty Kit,Beauty,34.99,1,34.99,LATAM,C78838
2025-01-02,Beauty Kit,Beauty,34.99,3,104.97,North America,C77000
2025-01-02,Sport Gear,Sports,59.99,4,239.96,Oceania,C81958
2025-01-02,Sport Gear,Sports,59.99,1,59.99,Oceania,C29064
2025-01-02,Beauty Kit,Beauty,34.99,5,174.95,North America,C95768
2025-01-02,Gadget X,Electronics,49.99,3,149.97,North America,C92514
2025-01-02,Gadget X,Electronics,49.99,1,49.99,North America,C16002
2025-01-02,Gadget X,Electronics,49.99,2,99.98,Europe,C82692
2025-01-02,Book Bundle,Books,19.99,1,19.99,Asia,C47731
2025-01-02,Gadget X,Electronics,49.99,4,199.96,LATAM,C64194
2025-01-02,Home Set,Home & Garden,89.99,1,89.99,Oceania,C12747
2025-01-02,Book Bundle,Books,19.99,1,19.99,Oceania,C49564
2025-01-02,Home Set,Home & Garden,89.99,2,179.98,Oceania,C38733
2025-01-03,Widget Pro,Electronics,29.99,4,119.96,Oceania,C28256
2025-01-03,Widget Pro,Electronics,29.99,1,29.99,Oceania,C36410
